migsp,FIPS County Code,FIPS MCD Code,MIGCOUNTY,MIGSP Migration (3-digit) State Code,MIGPUMA
1,1,0,Autauga County,1,2090
1,3,0,Baldwin County,1,2600
1,5,0,Barbour County,1,2400
1,7,0,Bibb County,1,1700
1,9,0,Blount County,1,800
1,11,0,Bullock County,1,2400
1,13,0,Butler County,1,2300
1,15,0,Calhoun County,1,1100
1,17,0,Chambers County,1,1800
1,19,0,Cherokee County,1,1000
1,21,0,Chilton County,1,1800
1,23,0,Choctaw County,1,2200
1,25,0,Clarke County,1,2200
1,27,0,Clay County,1,1000
1,29,0,Cleburne County,1,1000
1,31,0,Coffee County,1,2300
1,33,0,Colbert County,1,190
1,35,0,Conecuh County,1,2200
1,37,0,Coosa County,1,1800
1,39,0,Covington County,1,2300
1,41,0,Crenshaw County,1,2300
1,43,0,Cullman County,1,700
1,45,0,Dale County,1,2500
1,47,0,Dallas County,1,1700
1,49,0,DeKalb County,1,400
1,51,0,Elmore County,1,2090
1,53,0,Escambia County,1,2200
1,55,0,Etowah County,1,900
1,57,0,Fayette County,1,190
1,59,0,Franklin County,1,190
1,61,0,Geneva County,1,2500
1,63,0,Greene County,1,1700
1,65,0,Hale County,1,1700
1,67,0,Henry County,1,2500
1,69,0,Houston County,1,2500
1,71,0,Jackson County,1,400
1,73,0,Jefferson County,1,1300
1,75,0,Lamar County,1,190
1,77,0,Lauderdale County,1,190
1,79,0,Lawrence County,1,600
1,81,0,Lee County,1,1900
1,83,0,Limestone County,1,290
1,85,0,Lowndes County,1,2090
1,87,0,Macon County,1,2400
1,89,0,Madison County,1,290
1,91,0,Marengo County,1,1700
1,93,0,Marion County,1,190
1,95,0,Marshall County,1,290
1,97,0,Mobile County,1,2700
1,99,0,Monroe County,1,2200
1,101,0,Montgomery County,1,2090
1,103,0,Morgan County,1,600
1,105,0,Perry County,1,1700
1,107,0,Pickens County,1,1590
1,109,0,Pike County,1,2400
1,111,0,Randolph County,1,1000
1,113,0,Russell County,1,2400
1,115,0,St. Clair County,1,800
1,117,0,Shelby County,1,1200
1,119,0,Sumter County,1,1700
1,121,0,Talladega County,1,1000
1,123,0,Tallapoosa County,1,1800
1,125,0,Tuscaloosa County,1,1590
1,127,0,Walker County,1,190
1,129,0,Washington County,1,2200
1,131,0,Wilcox County,1,2200
1,133,0,Winston County,1,700
2,13,0,Aleutians East Borough,2,400
2,16,0,Aleutians West Census Area,2,400
2,20,0,Anchorage Municipality,2,100
2,50,0,Bethel Census Area,2,400
2,60,0,Bristol Bay Borough,2,400
2,68,0,Denali Borough,2,300
2,70,0,Dillingham Census Area,2,400
2,90,0,Fairbanks North Star Borough,2,300
2,100,0,Haines Borough,2,300
2,105,0,Hoonah-Angoon Census Area,2,400
2,110,0,Juneau City and Borough,2,300
2,122,0,Kenai Peninsula Borough,2,200
2,130,0,Ketchikan Gateway Borough,2,300
2,150,0,Kodiak Island Borough,2,400
2,158,0,Kusilvak Census Area,2,400
2,164,0,Lake and Peninsula Borough,2,400
2,170,0,Matanuska-Susitna Borough,2,200
2,180,0,Nome Census Area,2,400
2,185,0,North Slope Borough,2,400
2,188,0,Northwest Arctic Borough,2,400
2,195,0,Petersburg Borough,2,400
2,198,0,Prince of Wales-Hyder Census Area,2,400
2,220,0,Sitka City and Borough,2,400
2,230,0,Skagway Municipality,2,300
2,240,0,Southeast Fairbanks Census Area,2,300
2,261,0,Valdez-Cordova Census Area,2,300
2,275,0,Wrangell City and Borough,2,400
2,282,0,Yakutat City and Borough,2,400
2,290,0,Yukon-Koyukuk Census Area,2,400
4,1,0,Apache County,4,300
4,3,0,Cochise County,4,900
4,5,0,Coconino County,4,400
4,7,0,Gila County,4,800
4,9,0,Graham County,4,800
4,11,0,Greenlee County,4,800
4,12,0,La Paz County,4,600
4,13,0,Maricopa County,4,100
4,15,0,Mohave County,4,600
4,17,0,Navajo County,4,300
4,19,0,Pima County,4,200
4,21,0,Pinal County,4,800
4,23,0,Santa Cruz County,4,900
4,25,0,Yavapai County,4,500
4,27,0,Yuma County,4,700
5,1,0,Arkansas County,5,1790
5,3,0,Ashley County,5,1790
5,5,0,Baxter County,5,300
5,7,0,Benton County,5,100
5,9,0,Boone County,5,300
5,11,0,Bradley County,5,1790
5,13,0,Calhoun County,5,1900
5,15,0,Carroll County,5,300
5,17,0,Chicot County,5,1790
5,19,0,Clark County,5,1600
5,21,0,Clay County,5,590
5,23,0,Cleburne County,5,400
5,25,0,Cleveland County,5,1790
5,27,0,Columbia County,5,1900
5,29,0,Conway County,5,1300
5,31,0,Craighead County,5,590
5,33,0,Crawford County,5,1400
5,35,0,Crittenden County,5,590
5,37,0,Cross County,5,700
5,39,0,Dallas County,5,1900
5,41,0,Desha County,5,1790
5,43,0,Drew County,5,1790
5,45,0,Faulkner County,5,1100
5,47,0,Franklin County,5,1500
5,49,0,Fulton County,5,400
5,51,0,Garland County,5,1600
5,53,0,Grant County,5,1790
5,55,0,Greene County,5,590
5,57,0,Hempstead County,5,2000
5,59,0,Hot Spring County,5,1600
5,61,0,Howard County,5,1500
5,63,0,Independence County,5,400
5,65,0,Izard County,5,400
5,67,0,Jackson County,5,800
5,69,0,Jefferson County,5,1790
5,71,0,Johnson County,5,1300
5,73,0,Lafayette County,5,2000
5,75,0,Lawrence County,5,590
5,77,0,Lee County,5,700
5,79,0,Lincoln County,5,1790
5,81,0,Little River County,5,2000
5,83,0,Logan County,5,1500
5,85,0,Lonoke County,5,1100
5,87,0,Madison County,5,300
5,89,0,Marion County,5,300
5,91,0,Miller County,5,2000
5,93,0,Mississippi County,5,590
5,95,0,Monroe County,5,700
5,97,0,Montgomery County,5,1600
5,99,0,Nevada County,5,2000
5,101,0,Newton County,5,300
5,103,0,Ouachita County,5,1900
5,105,0,Perry County,5,1300
5,107,0,Phillips County,5,700
5,109,0,Pike County,5,2000
5,111,0,Poinsett County,5,700
5,113,0,Polk County,5,1500
5,115,0,Pope County,5,1300
5,117,0,Prairie County,5,800
5,119,0,Pulaski County,5,900
5,121,0,Randolph County,5,590
5,123,0,St. Francis County,5,700
5,125,0,Saline County,5,1200
5,127,0,Scott County,5,1500
5,129,0,Searcy County,5,300
5,131,0,Sebastian County,5,1400
5,133,0,Sevier County,5,1500
5,135,0,Sharp County,5,400
5,137,0,Stone County,5,400
5,139,0,Union County,5,1900
5,141,0,Van Buren County,5,400
5,143,0,Washington County,5,200
5,145,0,White County,5,800
5,147,0,Woodruff County,5,800
5,149,0,Yell County,5,1300
6,1,0,Alameda County,6,100
6,3,0,Alpine County,6,300
6,5,0,Amador County,6,300
6,7,0,Butte County,6,700
6,9,0,Calaveras County,6,300
6,11,0,Colusa County,6,1100
6,13,0,Contra Costa County,6,1300
6,15,0,Del Norte County,6,1500
6,17,0,El Dorado County,6,1700
6,19,0,Fresno County,6,1900
6,21,0,Glenn County,6,1100
6,23,0,Humboldt County,6,2300
6,25,0,Imperial County,6,2500
6,27,0,Inyo County,6,300
6,29,0,Kern County,6,2900
6,31,0,Kings County,6,3100
6,33,0,Lake County,6,3300
6,35,0,Lassen County,6,1500
6,37,0,Los Angeles County,6,3700
6,39,0,Madera County,6,3900
6,41,0,Marin County,6,4100
6,43,0,Mariposa County,6,300
6,45,0,Mendocino County,6,3300
6,47,0,Merced County,6,4700
6,49,0,Modoc County,6,1500
6,51,0,Mono County,6,300
6,53,0,Monterey County,6,5300
