state,puma12,county,stab,cntyname,pop10,afact
1,100,1033,AL,Colbert AL,54428,0.292
1,100,1059,AL,Franklin AL,31704,0.17
1,100,1077,AL,Lauderdale AL,92709,0.497
1,100,1093,AL,Marion AL,7854,0.042
1,200,1083,AL,Limestone AL,82782,0.482
1,200,1089,AL,Madison AL,89039,0.518
1,301,1089,AL,Madison AL,118924,1
1,302,1089,AL,Madison AL,101522,1
1,400,1049,AL,DeKalb AL,71109,0.572
1,400,1071,AL,Jackson AL,53227,0.428
1,500,1089,AL,Madison AL,25326,0.214
1,500,1095,AL,Marshall AL,93019,0.786
1,600,1079,AL,Lawrence AL,34339,0.223
1,600,1103,AL,Morgan AL,119490,0.777
1,700,1043,AL,Cullman AL,80406,0.767
1,700,1133,AL,Winston AL,24484,0.233
1,800,1009,AL,Blount AL,57322,0.407
1,800,1115,AL,St. Clair AL,83593,0.593
1,900,1055,AL,Etowah AL,104430,1
1,1000,1019,AL,Cherokee AL,25989,0.162
1,1000,1027,AL,Clay AL,13932,0.087
1,1000,1029,AL,Cleburne AL,14972,0.094
1,1000,1111,AL,Randolph AL,22913,0.143
1,1000,1121,AL,Talladega AL,82291,0.514
1,1100,1015,AL,Calhoun AL,118572,1
1,1200,1117,AL,Shelby AL,195085,1
1,1301,1073,AL,Jefferson AL,100833,1
1,1302,1073,AL,Jefferson AL,102098,1
1,1303,1073,AL,Jefferson AL,170145,1
1,1304,1073,AL,Jefferson AL,174673,1
1,1305,1073,AL,Jefferson AL,110717,1
1,1400,1057,AL,Fayette AL,17241,0.142
1,1400,1075,AL,Lamar AL,14564,0.12
1,1400,1093,AL,Marion AL,22922,0.188
1,1400,1127,AL,Walker AL,67023,0.55
1,1500,1107,AL,Pickens AL,19746,0.19
1,1500,1125,AL,Tuscaloosa AL,84027,0.81
1,1600,1125,AL,Tuscaloosa AL,110629,1
1,1700,1007,AL,Bibb AL,22915,0.167
1,1700,1047,AL,Dallas AL,43820,0.32
1,1700,1063,AL,Greene AL,9045,0.066
1,1700,1065,AL,Hale AL,15760,0.115
1,1700,1091,AL,Marengo AL,21027,0.154
1,1700,1105,AL,Perry AL,10591,0.077
1,1700,1119,AL,Sumter AL,13763,0.101
1,1800,1017,AL,Chambers AL,34215,0.261
1,1800,1021,AL,Chilton AL,43643,0.333
1,1800,1037,AL,Coosa AL,11539,0.088
1,1800,1123,AL,Tallapoosa AL,41616,0.318
1,1900,1081,AL,Lee AL,140247,1
1,2000,1101,AL,Montgomery AL,196534,1
1,2100,1001,AL,Autauga AL,54571,0.307
1,2100,1051,AL,Elmore AL,79303,0.446
1,2100,1085,AL,Lowndes AL,11299,0.063
1,2100,1101,AL,Montgomery AL,32829,0.184
1,2200,1023,AL,Choctaw AL,13859,0.097
1,2200,1025,AL,Clarke AL,25833,0.18
1,2200,1035,AL,Conecuh AL,13228,0.092
1,2200,1053,AL,Escambia AL,38319,0.267
1,2200,1099,AL,Monroe AL,23068,0.161
1,2200,1129,AL,Washington AL,17581,0.122
1,2200,1131,AL,Wilcox AL,11670,0.081
1,2300,1013,AL,Butler AL,20947,0.171
1,2300,1031,AL,Coffee AL,49948,0.408
1,2300,1039,AL,Covington AL,37765,0.308
1,2300,1041,AL,Crenshaw AL,13906,0.113
1,2400,1005,AL,Barbour AL,27457,0.188
1,2400,1011,AL,Bullock AL,10914,0.075
1,2400,1087,AL,Macon AL,21452,0.147
1,2400,1109,AL,Pike AL,32899,0.226
1,2400,1113,AL,Russell AL,52947,0.363
1,2500,1045,AL,Dale AL,50251,0.257
1,2500,1061,AL,Geneva AL,26790,0.137
1,2500,1067,AL,Henry AL,17302,0.088
1,2500,1069,AL,Houston AL,101547,0.518
1,2600,1003,AL,Baldwin AL,182265,1
1,2701,1097,AL,Mobile AL,110765,1
1,2702,1097,AL,Mobile AL,107285,1
1,2703,1097,AL,Mobile AL,194942,1
2,101,2020,AK,Anchorage Borough AK,132542,1
2,102,2020,AK,Anchorage Borough AK,159284,1
2,200,2122,AK,Kenai Peninsula Borough AK,55400,0.384
2,200,2170,AK,Matanuska-Susitna Borough AK,88995,0.616
2,300,2068,AK,Denali Borough AK,1826,0.011
2,300,2090,AK,Fairbanks North Star Borough AK,97581,0.594
2,300,2100,AK,Haines Borough AK,2508,0.015
2,300,2110,AK,Juneau Borough AK,31275,0.19
2,300,2130,AK,Ketchikan Gateway Borough AK,13477,0.082
2,300,2230,AK,Skagway Municipality,968,0.006
2,300,2240,AK,Southeast Fairbanks Census Area AK,7029,0.043
2,300,2261,AK,Valdez-Cordova Census Area AK,9636,0.059
2,400,2013,AK,Aleutians East Borough AK,3141,0.029
2,400,2016,AK,Aleutians West Census Area AK,5561,0.051
2,400,2050,AK,Bethel Census Area AK,17013,0.155
2,400,2060,AK,Bristol Bay Borough AK,997,0.009
2,400,2070,AK,Dillingham Census Area AK,4847,0.044
2,400,2105,AK,Hoonah-Angoon Census Area,2150,0.02
2,400,2150,AK,Kodiak Island Borough AK,13592,0.124
2,400,2164,AK,Lake and Peninsula Borough AK,1631,0.015
2,400,2180,AK,Nome Census Area AK,9492,0.087
2,400,2185,AK,North Slope Borough AK,9430,0.086
2,400,2188,AK,Northwest Arctic Borough AK,7523,0.069
2,400,2195,AK,Petersburg Census Area,3815,0.035
2,400,2198,AK,Prince of Wales-Hyder Census Area,5559,0.051
2,400,2220,AK,Sitka Borough AK,8881,0.081
2,400,2270,AK,Wade Hampton Census Area AK (D),7459,0.068
2,400,2275,AK,Wrangell City and Borough,2369,0.022
2,400,2282,AK,Yakutat Borough,662,0.006
2,400,2290,AK,Yukon-Koyukuk Census Area AK,5588,0.051
4,100,4013,AZ,Maricopa AZ,111283,1
4,101,4013,AZ,Maricopa AZ,146304,1
4,102,4013,AZ,Maricopa AZ,131113,1
4,103,4013,AZ,Maricopa AZ,106091,1
4,104,4013,AZ,Maricopa AZ,100229,1
4,105,4013,AZ,Maricopa AZ,135319,1
4,106,4013,AZ,Maricopa AZ,114036,1
4,107,4013,AZ,Maricopa AZ,100430,1
4,108,4013,AZ,Maricopa AZ,101048,1
4,109,4013,AZ,Maricopa AZ,102150,1
4,110,4013,AZ,Maricopa AZ,116958,1
4,111,4013,AZ,Maricopa AZ,104877,1
4,112,4013,AZ,Maricopa AZ,105478,1
4,113,4013,AZ,Maricopa AZ,102189,1
4,114,4013,AZ,Maricopa AZ,103639,1
4,115,4013,AZ,Maricopa AZ,101757,1
4,116,4013,AZ,Maricopa AZ,100212,1
4,117,4013,AZ,Maricopa AZ,100444,1
4,118,4013,AZ,Maricopa AZ,108714,1
4,119,4013,AZ,Maricopa AZ,105514,1
4,120,4013,AZ,Maricopa AZ,100182,1
4,121,4013,AZ,Maricopa AZ,123745,1
4,122,4013,AZ,Maricopa AZ,104327,1
4,123,4013,AZ,Maricopa AZ,108404,1
4,124,4013,AZ,Maricopa AZ,100367,1
4,125,4013,AZ,Maricopa AZ,101932,1
4,126,4013,AZ,Maricopa AZ,121841,1
4,127,4013,AZ,Maricopa AZ,113447,1
4,128,4013,AZ,Maricopa AZ,103065,1
4,129,4013,AZ,Maricopa AZ,105818,1
4,130,4013,AZ,Maricopa AZ,116222,1
4,131,4013,AZ,Maricopa AZ,103540,1
4,132,4013,AZ,Maricopa AZ,102571,1
4,133,4013,AZ,Maricopa AZ,103989,1
4,134,4013,AZ,Maricopa AZ,109882,1
4,201,4019,AZ,Pima AZ,101172,1
4,202,4019,AZ,Pima AZ,115321,1
4,203,4019,AZ,Pima AZ,109462,1
4,204,4019,AZ,Pima AZ,104434,1
4,205,4019,AZ,Pima AZ,122285,1
