"","CountyToGroups","Bay Area","Inland Empire","LA/Orange"
"1","LA/Orange",12774,48159,0
"2","San Diego CA",3503,11928,-2912
"3","Cook IL",2486,120,4911
"4","Dane WI",1874,NA,NA
"5","District of Columbia DC",1610,22,1389
"6","Suffolk MA",1160,NA,2075
"7","Broward FL",1158,NA,-893
"8","Hennepin MN",966,NA,1347
"9","Kings NY",788,NA,1845
"10","Tulare CA",704,594,-304
"11","Butte CA",627,-128,-157
"12","Montgomery MD",548,NA,540
"13","Colusa CA",525,NA,NA
"14","Shasta CA",513,NA,-27
"15","Monterey CA",507,-1406,-396
"16","Lane OR",437,-411,-529
"17","Utah UT",428,NA,-1836
"18","Del Norte CA",361,-179,-529
"19","Honolulu HI",327,-1854,1216
"20","Providence RI",309,NA,-404
"21","Hamilton OH",281,NA,40
"22","Washington OR",256,NA,-1047
"23","Oakland MI",251,NA,254
"24","Hudson NJ",197,NA,697
"25","Allegheny PA",162,NA,1115
"26","Tippecanoe IN",161,NA,NA
"27","Napa CA",150,NA,NA
"28","Putnam NY",150,NA,1053
"29","Worcester MA",145,NA,939
"30","Dallas TX",122,-1,-112
"31","New York NY",117,80,2199
"32","St. Louis MO",114,NA,-357
"33","Douglas NE",107,NA,-31
"34","Los Alamos NM",89,NA,NA
"35","Brazos TX",86,NA,NA
"36","Champaign IL",80,NA,-212
"37","San Luis Obispo CA",70,1122,-1749
"38","Albemarle VA",55,NA,-119
"39","Pinellas FL",52,NA,-20
"40","Hillsborough FL",51,NA,-72
"41","Queens NY",47,293,204
"42","Pierce WA",42,-92,-191
"43","Kalamazoo MI",30,NA,NA
"44","Onondaga NY",25,NA,490
"45","Bay Area",0,942,-12774
"46","Williamson TN",-12,NA,NA
"47","Nassau NY",-22,NA,150
"48","Prince Georges MD",-24,NA,766
"49","Salt Lake UT",-29,-5089,749
"50","Fulton GA",-34,NA,1186
"51","Kalawao HI",-46,NA,-339
"52","Douglas NV",-47,167,NA
"53","Mercer NJ",-57,NA,NA
"54","Nevada CA",-62,NA,2
"55","Shelby TN",-70,NA,-734
"56","Washtenaw MI",-76,NA,756
"57","Monmouth NJ",-80,NA,NA
"58","Bingham ID",-83,292,-218
"59","Kern CA",-120,1166,-6043
"60","Lake CA",-122,NA,30
"61","Clark WA",-129,NA,NA
"62","Fairfax VA",-131,NA,833
"63","Suffolk NY",-163,NA,59
"64","Berkeley SC",-169,NA,NA
"65","New Haven CT",-170,NA,NA
"66","Humboldt CA",-171,-37,-927
"67","Fairfield CT",-174,NA,0
"68","Yolo CA",-194,124,-2329
"69","Ventura CA",-196,732,-3768
"70","Davidson TN",-206,NA,410
"71","Baltimore city MD",-251,NA,84
"72","Jefferson AL",-269,NA,22
"73","Clackamas OR",-276,NA,393
"74","King WA",-322,-661,-2654
"75","Berrien MI",-361,NA,NA
"76","Benzie MI",-362,NA,NA
"77","Albany NY",-404,NA,NA
"78","Bent CO",-430,-1279,-2056
"79","El Dorado CA",-440,NA,-503
"80","Washoe NV",-582,-149,-496
"81","Harris TX",-611,-1678,507
"82","Philadelphia PA",-611,224,NA
"83","Travis TX",-624,80,-867
"84","Anchorage Borough AK",-631,NA,137
"85","Multnomah OR",-663,NA,-2312
"86","Deschutes OR",-719,NA,NA
"87","Snohomish WA",-728,-595,174
"88","Alpine CA",-786,745,451
"89","Clark NV",-800,-2559,-8025
"90","Inland Empire",-942,0,-48159
"91","Stanislaus CA",-964,-82,418
"92","Merced CA",-1061,-8,NA
"93","Madera CA",-1080,519,NA
"94","Fresno CA",-1395,-714,-1594
"95","Sonoma CA",-1575,-43,137
"96","Washington UT",-1824,NA,NA
"97","Santa Barbara CA",-2716,-1755,-1851
"98","Maricopa AZ",-3806,2608,-9850
"99","Placer CA",-4391,-33,-3631
"100","Santa Cruz CA",-5081,NA,-1431
"101","Sacramento CA",-6166,639,-4330
"102","Solano CA",-7598,92,-148
"103","San Joaquin CA",-15151,NA,667
"104","Ada ID",NA,NA,-432
"105","Adams WA",NA,NA,-94
"106","Albany WY",NA,NA,-158
"107","Allen KS",NA,NA,-86
"108","Arlington VA",NA,NA,-193
"109","Atlantic NJ",NA,NA,-79
"110","Bay FL",NA,NA,74
"111","Benewah ID",NA,NA,-70
"112","Benton OR",NA,65,NA
"113","Benton WA",NA,-734,NA
"114","Bergen NJ",NA,NA,32
"115","Bernalillo NM",NA,27,1989
"116","Bexar TX",NA,55,-505
"117","Bienville Parish LA",NA,NA,-235
"118","Blount AL",NA,381,NA
"119","Bronx NY",NA,NA,-192
"120","Brooke WV",NA,NA,-93
"121","Bucks PA",NA,NA,-66
"122","Butler MO",NA,NA,187
"123","Camden GA",NA,NA,-96
"124","Camden MO",NA,NA,-224
"125","Cameron TX",NA,NA,271
"126","Centre PA",NA,NA,87
"127","Chattahoochee GA",NA,NA,-16
