"","CountyToGroups","Bay Area","Inland Empire","LA/Orange"
"1","LA/Orange",21000,40831,NA
"2","San Joaquin CA",17912,NA,NA
"3","Sacramento CA",10857,NA,6001
"4","Solano CA",10206,NA,NA
"5","Santa Cruz CA",9098,NA,2678
"6","Sonoma CA",7288,NA,NA
"7","Maricopa AZ",6668,1384,13479
"8","Placer CA",6125,NA,4064
"9","San Diego CA",5794,9428,17424
"10","King WA",5435,1336,6758
"11","Inland Empire",5144,NA,86413
"12","Santa Barbara CA",4539,2262,5183
"13","Stanislaus CA",3891,NA,NA
"14","Multnomah OR",3550,NA,3252
"15","Bent CO",3386,1731,6170
"16","Cook IL",3234,NA,2389
"17","El Dorado CA",3064,NA,NA
"18","Harris TX",3023,2911,2068
"19","New York NY",2929,NA,1571
"20","Canadian OK",2832,NA,NA
"21","Dallas TX",2791,NA,3124
"22","Worcester MA",2660,NA,1038
"23","Clark NV",2448,4091,12415
"24","Washington UT",2435,NA,NA
"25","Yolo CA",2420,NA,1940
"26","Fresno CA",2321,1389,3191
"27","Alpine CA",2280,NA,NA
"28","Butte CA",2047,NA,NA
"29","Salt Lake UT",1970,4254,NA
"30","San Luis Obispo CA",1936,NA,3172
"31","Monterey CA",1847,1539,1058
"32","Washoe NV",1830,NA,NA
"33","Merced CA",1826,NA,1681
"34","Ventura CA",1803,NA,11516
"35","Kern CA",1795,2781,11697
"36","Kings NY",1594,NA,NA
"37","Travis TX",1592,NA,1333
"38","Madera CA",1203,NA,1236
"39","Hamilton OH",1197,NA,NA
"40","Kalawao HI",1182,NA,NA
"41","Fulton GA",1156,NA,NA
"42","Wake NC",1125,NA,NA
"43","Lane OR",1009,NA,NA
"44","Ada ID",NA,3090,1977
"45","Allen IN",NA,NA,1428
"46","Bay Area",NA,4291,32389
"47","Broward FL",NA,NA,1122
"48","Camden NC",NA,NA,1015
"49","Chatham GA",NA,NA,1130
"50","Coconino AZ",NA,NA,1420
"51","Collin TX",NA,NA,1844
"52","Cumberland ME",NA,NA,1039
"53","Dane WI",NA,1002,NA
"54","Davis UT",NA,NA,1440
"55","Denali Borough AK",NA,1084,NA
"56","Denton TX",NA,NA,1402
"57","Deschutes OR",NA,NA,3751
"58","Dimmit TX",NA,NA,1245
"59","District of Columbia DC",NA,NA,1479
"60","Dona Ana NM",NA,1370,NA
"61","El Paso CO",NA,NA,1031
"62","Fort Bend TX",NA,1596,NA
"63","Franklin OH",NA,NA,1333
"64","Gila AZ",NA,1338,NA
"65","Honolulu HI",NA,2107,2241
"66","Houston GA",NA,NA,1179
"67","Humboldt CA",NA,NA,1714
"68","La Paz AZ",NA,2779,1998
"69","Lake MT",NA,1153,NA
"70","Pierce WA",NA,NA,1132
"71","Seminole FL",NA,NA,1538
"72","Spokane WA",NA,NA,3085
"73","Tarrant TX",NA,NA,3404
"74","Tulsa OK",NA,NA,1376
"75","Utah UT",NA,NA,1884
"76","Washington OR",NA,NA,1283
"77","Washtenaw MI",NA,NA,1079
"78","Williamson TX",NA,NA,1421
"79","Yavapai AZ",NA,NA,1012
"80","Yuma AZ",NA,1197,NA
