"","CountyToGroups","Bay Area","Inland Empire","LA/Orange"
"1","LA/Orange",21491,44068,NA
"2","San Joaquin CA",19225,NA,NA
"3","Sacramento CA",12176,NA,5932
"4","Solano CA",11589,NA,NA
"5","Santa Cruz CA",9713,NA,2620
"6","Sonoma CA",8211,NA,NA
"7","Placer CA",6676,NA,4532
"8","San Diego CA",6654,10247,18359
"9","Maricopa AZ",6651,1418,14571
"10","Inland Empire",5809,NA,92227
"11","King WA",5571,1537,7402
"12","Santa Barbara CA",4884,2097,5310
"13","Stanislaus CA",3983,NA,NA
"14","Multnomah OR",3743,NA,3297
"15","Bent CO",3732,1987,6771
"16","Harris TX",3289,1859,2373
"17","Cook IL",3280,NA,2561
"18","Canadian OK",3245,NA,NA
"19","New York NY",3017,NA,1864
"20","Dallas TX",2924,NA,3310
"21","El Dorado CA",2840,NA,NA
"22","Worcester MA",2801,NA,1154
"23","Clark NV",2792,4627,14183
"24","Yolo CA",2788,NA,2747
"25","Alpine CA",2576,NA,NA
"26","Fresno CA",2369,1424,3564
"27","Merced CA",2334,NA,1789
"28","Butte CA",2266,NA,NA
"29","Washington UT",2050,NA,NA
"30","Salt Lake UT",2024,5406,NA
"31","Kern CA",1998,2774,11343
"32","Monterey CA",1970,1782,1231
"33","Washoe NV",1957,NA,NA
"34","Ventura CA",1947,NA,13243
"35","San Luis Obispo CA",1869,NA,3639
"36","Madera CA",1816,NA,1326
"37","Travis TX",1684,NA,1667
"38","Kings NY",1603,NA,1084
"39","Coos OR",1311,NA,NA
"40","Washington AR",1234,NA,NA
"41","Snohomish WA",1215,NA,NA
"42","Hamilton OH",1149,NA,NA
"43","Kalawao HI",1147,NA,NA
"44","Fulton GA",1143,NA,NA
"45","Philadelphia PA",1139,NA,NA
"46","Napa CA",1118,NA,NA
"47","Suffolk MA",1088,NA,NA
"48","Lane OR",1087,NA,1033
"49","Pierce WA",1046,NA,1111
"50","Wake NC",1018,NA,NA
"51","Ada ID",NA,2923,2102
"52","Allen IN",NA,NA,1333
"53","Bay Area",NA,4417,34265
"54","Bexar TX",NA,NA,1003
"55","Broward FL",NA,NA,1126
"56","Camden NC",NA,NA,1308
"57","Coconino AZ",NA,NA,1510
"58","Collin TX",NA,NA,1886
"59","Cumberland ME",NA,NA,1123
"60","Davis UT",NA,NA,1768
"61","Denton TX",NA,NA,1428
"62","Deschutes OR",NA,NA,3419
"63","District of Columbia DC",NA,NA,1614
"64","Dona Ana NM",NA,1518,NA
"65","El Paso CO",NA,NA,1080
"66","Fort Bend TX",NA,1679,NA
"67","Franklin OH",NA,NA,1114
"68","Gila AZ",NA,1462,1106
"69","Honolulu HI",NA,2152,2740
"70","Houston GA",NA,NA,1014
"71","Humboldt CA",NA,NA,1690
"72","La Paz AZ",NA,2888,2321
"73","Lake MT",NA,1828,NA
"74","Miami-Dade FL",NA,NA,1009
"75","Nueces TX",NA,NA,1306
"76","Palm Beach FL",NA,NA,1109
"77","Seminole FL",NA,NA,1967
"78","Spokane WA",NA,NA,3338
"79","Tarrant TX",NA,NA,3871
"80","Tulare CA",NA,NA,1296
"81","Tulsa OK",NA,NA,1445
"82","Utah UT",NA,1067,2147
"83","Washington OR",NA,NA,1438
"84","Washtenaw MI",NA,NA,1361
"85","Williamson TX",NA,NA,1621
