"","CountyToGroups","Bay Area","Inland Empire","LA/Orange"
"1","LA/Orange",19798,49053,NA
"2","San Joaquin CA",12497,NA,1310
"3","Sacramento CA",11347,1887,5279
"4","Solano CA",8363,NA,1365
"5","Santa Cruz CA",6595,NA,2027
"6","Sonoma CA",6524,NA,1477
"7","San Diego CA",5927,13336,17500
"8","Stanislaus CA",5853,NA,NA
"9","King WA",5028,NA,5548
"10","Maricopa AZ",3925,2555,10881
"11","Bent CO",3907,1406,5443
"12","Yolo CA",3764,NA,2336
"13","Monterey CA",3759,NA,1664
"14","Santa Barbara CA",3725,1527,5376
"15","Fresno CA",3663,1513,3796
"16","Placer CA",3615,NA,1663
"17","New York NY",3484,NA,3355
"18","Inland Empire",3423,NA,84552
"19","Clark NV",3236,3586,16521
"20","Merced CA",2857,NA,1436
"21","Worcester MA",2715,NA,2066
"22","Cook IL",2540,NA,2336
"23","Multnomah OR",2518,NA,2431
"24","Butte CA",2406,NA,NA
"25","Washoe NV",2300,NA,NA
"26","San Luis Obispo CA",2092,1176,3364
"27","El Dorado CA",2024,NA,NA
"28","Harris TX",1892,NA,2898
"29","Dallas TX",1690,NA,3254
"30","Kings NY",1623,NA,1428
"31","Alpine CA",1420,NA,1027
"32","Salt Lake UT",1310,1272,1681
"33","Travis TX",1288,NA,1910
"34","Suffolk MA",1276,NA,NA
"35","Napa CA",1230,NA,NA
"36","Honolulu HI",1191,1297,2473
"37","Kern CA",1137,3583,12435
"38","Pima AZ",1119,1025,2092
"39","Ventura CA",1010,NA,11353
"40","Ada ID",NA,1391,1536
"41","Bay Area",NA,4125,24592
"42","Bexar TX",NA,NA,1508
"43","Coconino AZ",NA,NA,1189
"44","Collin TX",NA,NA,1421
"45","Denton TX",NA,NA,1343
"46","District of Columbia DC",NA,NA,1214
"47","Gila AZ",NA,NA,1173
"48","Humboldt CA",NA,NA,1391
"49","La Paz AZ",NA,2238,1462
"50","Madera CA",NA,NA,1164
"51","Tarrant TX",NA,NA,2702
"52","Tulare CA",NA,NA,1319
"53","Tulsa OK",NA,NA,1089
"54","Utah UT",NA,1098,1551
"55","Washington OR",NA,NA,1688
